146,शौरि,1.1.21,1.1.21.1.2,पुं.,स्वर्गवर्गः,विष्णुः
147,श्रीपति,1.1.21,1.1.21.1.3,पुं.,स्वर्गवर्गः,विष्णुः
148,पुरुषोत्तम,1.1.21,1.1.21.1.4,पुं.,स्वर्गवर्गः,विष्णुः
149,वनमालिन्,1.1.21,1.1.21.2.1,पुं.,स्वर्गवर्गः,विष्णुः
150,बलिध्वंसिन्,1.1.21,1.1.21.2.2,पुं.,स्वर्गवर्गः,विष्णुः
151,कंसाराति,1.1.21,1.1.21.2.3,पुं.,स्वर्गवर्गः,विष्णुः
152,अधोक्षज,1.1.21,1.1.21.2.4,पुं.,स्वर्गवर्गः,विष्णुः
153,विश्वम्भर,1.1.22,1.1.22.1.1,पुं.,स्वर्गवर्गः,विष्णुः
154,कैटभजित्,1.1.22,1.1.22.1.2,पुं.,स्वर्गवर्गः,विष्णुः
155,विधु,1.1.22,1.1.22.1.3,पुं.,स्वर्गवर्गः,विष्णुः
156,श्रीवत्सलाञ्छन,1.1.22,1.1.22.1.4,पुं.,स्वर्गवर्गः,विष्णुः
157,पुराणपुरुष,1.1.22,1.1.22.2.1,पुं.,स्वर्गवर्गः,विष्णुः
158,यज्ञपुरुष,1.1.22,1.1.22.2.2,पुं.,स्वर्गवर्गः,विष्णुः
159,नरकान्तक,1.1.22,1.1.22.2.3,पुं.,स्वर्गवर्गः,विष्णुः
160,जलशायिन्,1.1.22,1.1.22.3.1,पुं.,स्वर्गवर्गः,विष्णुः
161,विश्वरूप,1.1.22,1.1.22.3.2,पुं.,स्वर्गवर्गः,विष्णुः
162,मुकुन्द,1.1.22,1.1.22.3.3,पुं.,स्वर्गवर्गः,विष्णुः
163,मुरमर्दन,1.1.22,1.1.22.3.4,पुं.,स्वर्गवर्गः,विष्णुः
164,वसुदेव,1.1.22,1.1.22.4.1,पुं.,स्वर्गवर्गः,वसुदेवः
165,आनकदुन्दुभि,1.1.22,1.1.22.4.2,पुं.,स्वर्गवर्गः,वसुदेवः
166,बलभद्र,1.1.23,1.1.23.1.1,पुं.,स्वर्गवर्गः,बलभद्रः
167,प्रलम्बघ्न,1.1.23,1.1.23.1.2,पुं.,स्वर्गवर्गः,बलभद्रः
168,बलदेव,1.1.23,1.1.23.1.3,पुं.,स्वर्गवर्गः,बलभद्रः
169,अच्युताग्रज,1.1.23,1.1.23.1.4,पुं.,स्वर्गवर्गः,बलभद्रः
170,रेवतीरमण,1.1.23,1.1.23.2.1,पुं.,स्वर्गवर्गः,बलभद्रः
171,राम,1.1.23,1.1.23.2.2,पुं.,स्वर्गवर्गः,बलभद्रः
172,कामपाल,1.1.23,1.1.23.2.3,पुं.,स्वर्गवर्गः,बलभद्रः
173,हलायुध,1.1.23,1.1.23.2.4,पुं.,स्वर्गवर्गः,बलभद्रः
174,नीलाम्बर,1.1.24,1.1.24.1.1,पुं.,स्वर्गवर्गः,बलभद्रः
175,रौहिणेय,1.1.24,1.1.24.1.2,पुं.,स्वर्गवर्गः,बलभद्रः
176,तालाङ्क,1.1.24,1.1.24.1.3,पुं.,स्वर्गवर्गः,बलभद्रः
177,मुसलिन्,1.1.24,1.1.24.1.4,पुं.,स्वर्गवर्गः,बलभद्रः
178,हलिन्,1.1.24,1.1.24.1.5,पुं.,स्वर्गवर्गः,बलभद्रः
179,सङ्कर्षण,1.1.24,1.1.24.2.1,पुं.,स्वर्गवर्गः,बलभद्रः
180,सीरपाणि,1.1.24,1.1.24.2.2,पुं.,स्वर्गवर्गः,बलभद्रः
