961,स्वयम्भू,1.1.16.2.3,पुं.,स्वर्गवर्गः,ब्रह्मा,,देवः,,,,,,,ईश्वरः,,
971,चतुरानन,1.1.16.2.4,पुं.,स्वर्गवर्गः,ब्रह्मा,,देवः,,,,,,,ईश्वरः,,
981,धातृ,1.1.17.1.1,पुं.,स्वर्गवर्गः,ब्रह्मा,,देवः,,,,,,,ईश्वरः,,
991,अब्जयोनि,1.1.17.1.2,पुं.,स्वर्गवर्गः,ब्रह्मा,,देवः,,,,,,,ईश्वरः,,
1001,द्रुहिण,1.1.17.1.3,पुं.,स्वर्गवर्गः,ब्रह्मा,,देवः,,,,,,,ईश्वरः,,
1011,विरिञ्चि,1.1.17.1.4,पुं.,स्वर्गवर्गः,ब्रह्मा,,देवः,,,,,,,ईश्वरः,,
1012,विरञ्चि,1.1.17.1.4.2,पुं.,स्वर्गवर्गः,ब्रह्मा,,देवः,,,,,,,ईश्वरः,,
1021,कमलासन,1.1.17.1.5,पुं.,स्वर्गवर्गः,ब्रह्मा,,देवः,,,,,,,ईश्वरः,,
1031,स्रष्टृ,1.1.17.2.1,पुं.,स्वर्गवर्गः,ब्रह्मा,,देवः,,,,,,,ईश्वरः,,
1041,प्रजापति,1.1.17.2.2,पुं.,स्वर्गवर्गः,ब्रह्मा,,देवः,,,,,,,ईश्वरः,,
1051,वेधस्,1.1.17.2.3,पुं.,स्वर्गवर्गः,ब्रह्मा,,देवः,,,,,,,ईश्वरः,,
1061,विधातृ,1.1.17.2.4,पुं.,स्वर्गवर्गः,ब्रह्मा,,देवः,,,,,,,ईश्वरः,,
1071,विश्वसृज्,1.1.17.2.5,पुं.,स्वर्गवर्गः,ब्रह्मा,,देवः,,,,,,,ईश्वरः,,
1081,विधि,1.1.17.2.6,पुं.,स्वर्गवर्गः,ब्रह्मा,,देवः,,,,,,,ईश्वरः,,
1091,नाभिजन्मन्,1.1.17.3.1,पुं.,स्वर्गवर्गः,ब्रह्मा,,देवः,,,,,,,ईश्वरः,,
1101,अण्डज,1.1.17.3.2,पुं.,स्वर्गवर्गः,ब्रह्मा,,देवः,,,,,,,ईश्वरः,,
1111,पूर्व,1.1.17.3.3,पुं.,स्वर्गवर्गः,ब्रह्मा,,देवः,,,,,,,ईश्वरः,,
1121,निधन,1.1.17.3.4,पुं-नपुं.,स्वर्गवर्गः,ब्रह्मा,,देवः,,,,,,,ईश्वरः,,
1131,कमलोद्भव,1.1.17.3.5,पुं.,स्वर्गवर्गः,ब्रह्मा,,देवः,,,,,,,ईश्वरः,,
1141,सदानन्द,1.1.17.4.1,पुं.,स्वर्गवर्गः,ब्रह्मा,,देवः,,,,,,,ईश्वरः,,
