1.1.1,1.1.1.1,"यस्य ज्ञानदयासिन्धोरगाधस्यानघा गुणाः।"
1.1.62,1.1.62.1,"पृषदश्वो गन्धवहो गन्धवाहानिलाशुगाः।"
1.1.62,1.1.62.2,"समीरमारुतमरुज्जगत्प्राणसमीरणाः॥"
1.1.63,1.1.63.1,"नभस्वद्वातपवनपवमानप्रभञ्जनाः।"
1.1.63,1.1.63.2,"प्रकम्पनो महावातो झञ्झावातः सवृष्टिकः।"
1.1.63,1.1.63.3,"प्राणोऽपानः समानश्चोदानव्यानौ च वायवः।"
1.1.63,1.1.63.4,"हृदि प्राणो गुदोऽपानः समानो नाभिमण्डले।"
1.1.63,1.1.63.5,"उदानः कण्ठदेशे स्याद्व्यानः सर्वशरीरगः।"
1.1.63,1.1.63.6,"(अन्नप्रवेशनं मूत्राद्युत्सर्गोऽन्नविपाचनम्।"
1.1.63,1.1.63.7,"भाषणादि निमेषादि तद्व्यापाराः क्रमादमी॥)"
1.1.64,1.1.64.1,"शरीरस्था इमे रंहस्तरसी तु रयः स्यदः।"
1.1.64,1.1.64.2,"जवोऽथ शीघ्रं त्वरितं लघु क्षिप्रमरं द्रुतम्॥"
1.1.65,1.1.65.1,"सत्वरं चपलं तूर्णमविलम्बितमाशु च।"
1.1.65,1.1.65.2,"सततानारताश्रान्तसन्तताविरतानिशम्॥"
1.1.66,1.1.66.1,"नित्यानवरताजस्रमप्यथातिशयो भरः।"
1.1.66,1.1.66.2,"अतिवेलभृशात्यर्थातिमात्रोद्गाढनिर्भरम्॥"
1.1.67,1.1.67.1,"तीव्रैकान्तनितान्तानि गाढबाढदृढानि च।"
1.1.67,1.1.67.2,"क्लीबे शीघ्राद्यसत्त्वे स्यात् त्रिष्वेषां सत्त्वगामि यत्॥"
1.1.68,1.1.68.1,"कुबेरस्त्र्यम्बकसखो यक्षराड्गुह्यकेश्वरः।"
1.1.68,1.1.68.2,"मनुष्यधर्मा धनदो राजराजो धनाधिपः॥"
1.1.69,1.1.69.1,"किन्नरेशो वैश्रवणः पौलस्त्यो नरवाहनः।"
1.1.69,1.1.69.2,"यक्षैकपिङ्गैलविलश्रीदपुण्यजनेश्वराः॥"
1.1.70,1.1.70.1,"अस्योद्यानं चैत्ररथं पुत्रस्तु नलकूबरः।"
1.1.70,1.1.70.2,"कैलासः स्थानमलका पूर्विमानं तु पुष्पकम्॥"
1.1.71,1.1.71.1,"स्यात् किन्नरः किम्पुरुषस्तुरङ्गवदनो मयुः।"
1.1.71,1.1.71.2,"निधिर्ना शेवधिर्भेदाः पद्मशङ्खादयो निधेः।"
1.1.71,1.1.71.3,"महापद्मश्च पद्मश्च शङ्खो मकरकच्छपौ।"
1.1.71,1.1.71.4,"मुकुन्दकुन्दनीलाश्च खर्वश्च निधयो नव॥"
